USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root             24928   0.0  0.1 409022928   4704   ??  Ss    6:50PM   0:00.29 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
macintosh        24885   0.0  0.2 408437520  17328   ??  Ss    6:47PM   0:00.11 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
macintosh        24884   0.0  0.2 408755152  13152   ??  Ss    6:47PM   0:00.10 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
macintosh        24862   0.0  0.0 408819648   2976   ??  Ss    6:46PM   0:00.07 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
macintosh        24849   0.0  0.0 408300272   1152 s000  S+    6:46PM   0:00.06 -zsh
root             24848   0.0  0.1 408197568   5568 s000  Ss    6:46PM   0:00.05 login -pf macintosh
macintosh        24845   0.0  0.1 408536384   5824   ??  Ss    6:45PM   0:00.09 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
macintosh        24832   0.0  0.3 408887632  21984   ??  S     6:45PM   0:00.93 /System/Library/Input Methods/DictationIM.app/Contents/MacOS/DictationIM
root             24789   0.0  0.0 408137152   3712   ??  Ss    6:43PM   0:00.06 /usr/libexec/sandboxd
_driverkit       24787   0.0  0.0 408505536   2320   ??  Ss    6:43PM   0:03.83 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver 0x100035be6
_driverkit       24785   0.0  0.0 408509536   1968   ??  Ss    6:43PM   0:04.61 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice1 0x100035bd9
_driverkit       24783   0.0  0.0 408503024   1056   ??  Ss    6:43PM   0:00.01 /System/Library/DriverExtensions/com.apple.DriverKit.AppleUserECMData.dext/com.apple.DriverKit.AppleUserECMData com.apple.DriverKit.AppleUserECMData 0x100035b97
_driverkit       24782   0.0  0.0 408524896   1056   ??  Ss    6:43PM   0:00.05 /System/Library/DriverExtensions/com.apple.DriverKit.AppleUserECM.dext/com.apple.DriverKit.AppleUserECM com.apple.DriverKit.AppleUserECM 0x100035b95
macintosh        24558   0.0  0.2 409857312  14032   ??  Ss    6:27PM   0:00.37 /System/Library/CoreServices/Dock.app/Contents/XPCServices/DockHelper.xpc/Contents/MacOS/DockHelper
macintosh        24433   0.0  0.1 408653744  12448   ??  S     6:17PM   0:01.07 /usr/libexec/remindd
macintosh        24368   0.0  0.1 408665088   6512   ??  S     6:11PM   0:00.15 /usr/libexec/dmd
macintosh        23972   0.0  0.1 408516576   9664   ??  S     5:39PM   0:00.25 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
macintosh        23893   0.0  0.1 408230720   8608   ??  S     5:33PM   0:00.11 /usr/libexec/siriknowledged
root             23861   0.0  0.0 408734208   1584   ??  Ss    5:30PM   0:01.15 /usr/libexec/sysmond
root             23841   0.0  0.0 408496928   2432   ??  Ss    5:29PM   0:00.09 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
macintosh        23840   0.0  0.1 409032992  11072   ??  S     5:29PM   0:00.55 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
_iconservices    23837   0.0  0.0 408338800   2672   ??  Ss    5:29PM   0:00.05 /System/Library/CoreServices/iconservicesd
macintosh        23836   0.0  0.2 409380848  13056   ??  S     5:29PM   0:00.87 /System/Library/CoreServices/iconservicesagent
root             23788   0.0  0.0 408528928   3824   ??  Ss    5:27PM   0:00.11 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
root             23773   0.0  0.0 408459776   1232   ??  Ss    5:27PM   0:00.04 /usr/libexec/logd_helper
root             23771   0.0  0.0 408672656   3680   ??  Ss    5:27PM   0:00.42 /usr/libexec/amfid
